MinTemp,MaxTemp,Evaporation,Sunshine,WindGustSpeed,WindSpeed9am,WindSpeed3pm,Humidity9am,Humidity3pm,Pressure9am,Pressure3pm,Cloud9am,Cloud3pm,Temp9am,Temp3pm,Estacion_invierno,Estacion_otoño,Estacion_primavera,Estacion_verano,Direccion_viento_C,Direccion_viento_E,Direccion_viento_N,Direccion_viento_O,Direccion_viento_S,Tipo_lluvia_Fuerte,Tipo_lluvia_Leve,Tipo_lluvia_Moderada,Tipo_lluvia_Ninguna,Region_Este,Region_Norte,Region_Oeste,Region_Sur,RainToday_No,RainToday_Yes,WindDir9am_C,WindDir9am_E,WindDir9am_N,WindDir9am_O,WindDir9am_S,WindDir3pm_C,WindDir3pm_E,WindDir3pm_N,WindDir3pm_O,WindDir3pm_S,Date,Location,WindGustDir,WindDir9am,WindDir3pm,RainToday,RainTomorrow
17.9,35.2,12.0,12.3,48.0,6.0,20.0,20.0,13.0,1006.3,1004.4,2.0,5.0,26.6,33.4,1,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,,,,,,,
18.4,28.9,14.8,13.0,37.0,19.0,19.0,30.0,8.0,1012.9,1012.1,1.0,1.0,20.3,27.0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,,,,,,,
20.9,37.8,12.8,13.2,30.0,11.0,7.0,27.0,9.0,1012.6,1010.1,0.0,1.0,29.8,36.4,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,2009-01-12,Cobar,E,SE,ENE,No,No
23.9,39.1,13.8,12.1,39.0,24.0,9.0,40.0,15.0,1013.6,1010.4,0.0,2.0,29.1,37.0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,2009-01-13,Cobar,ENE,NE,N,No,No
24.9,41.2,14.8,13.0,43.0,17.0,11.0,25.0,15.0,1012.9,1010.1,1.0,3.0,31.5,38.1,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,1,2009-01-14,Cobar,SSW,N,NNW,No,No
21.8,30.7,8.0,5.9,56.0,24.0,19.0,71.0,63.0,1008.6,1006.2,7.0,7.0,24.4,27.3,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,2009-01-22,Cobar,WNW,N,N,No,Yes
20.3,36.0,8.2,10.5,94.0,13.0,7.0,89.0,50.0,1008.6,1006.7,7.0,4.0,24.7,33.4,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,2009-01-23,Cobar,WSW,NNE,NW,Yes,Yes
22.1,34.7,8.6,12.4,50.0,11.0,15.0,46.0,23.0,1008.6,1008.3,2.0,6.0,28.1,33.2,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,2009-01-24,Cobar,NNW,SSW,SW,Yes,No
19.7,37.3,14.2,13.4,28.0,13.0,6.0,19.0,10.0,1013.1,1011.8,1.0,1.0,26.4,35.0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,1,0,0,0,1,0,0,2009-01-25,Cobar,SSW,SE,ENE,No,No
23.8,39.9,12.6,13.2,31.0,17.0,7.0,50.0,16.0,1014.6,1012.1,0.0,1.0,28.7,38.7,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,2009-01-26,Cobar,S,ENE,E,No,No
27.0,38.7,14.2,13.0,46.0,24.0,7.0,45.0,22.0,1015.2,1012.6,1.0,3.0,29.0,36.4,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,2009-01-27,Cobar,ENE,ENE,ESE,No,No
26.2,38.5,14.6,13.3,39.0,15.0,19.0,37.0,17.0,1014.4,1011.5,0.0,2.0,29.6,37.0,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,2009-01-28,Cobar,E,NNE,ENE,No,No
25.0,39.5,14.6,13.6,52.0,19.0,20.0,31.0,14.0,1014.6,1011.2,0.0,1.0,29.9,38.4,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,2009-01-29,Cobar,ENE,NNE,NNE,No,No
25.1,39.3,15.8,13.2,44.0,20.0,20.0,34.0,18.0,1013.8,1010.5,0.0,1.0,29.9,37.5,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,1,0,2009-01-30,Cobar,ESE,NNE,ESE,No,No
25.2,38.5,16.2,13.1,44.0,24.0,20.0,35.0,18.0,1015.2,1011.9,1.0,2.0,29.0,36.9,0,1,0,0,0,1,0,0,1,1,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,1,2009-01-31,Cobar,ENE,NNE,NE,No,No
21.4,37.5,14.8,6.9,43.0,26.0,9.0,34.0,29.0,1013.1,1009.6,7.0,6.0,26.2,34.1,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,,,,,,,
21.8,30.7,8.0,5.9,56.0,24.0,19.0,71.0,63.0,1008.6,1006.2,7.0,7.0,24.4,27.3,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,,,,,,,
20.3,36.0,8.2,10.5,94.0,13.0,7.0,89.0,50.0,1008.6,1006.7,7.0,4.0,24.7,33.4,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,,,,,,,
23.6,40.4,11.8,12.2,54.0,9.0,11.0,42.0,17.0,1008.4,1005.0,1.0,2.0,29.9,38.7,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,,,,,,,
16.8,23.3,8.0,2.3,63.0,35.0,35.0,66.0,53.0,1013.8,1012.2,7.0,7.0,18.5,22.4,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,,,,,,,
30.6,40.4,17.8,1.2,54.0,9.0,11.0,42.0,17.0,1008.4,1005.0,1.0,2.0,29.9,38.7,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,,,,,,,
15.5,23.0,10.5,2.0,50.0,13.0,17.0,95.0,92.0,1004.5,1003.2,8.0,7.0,17.5,22.4,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,2009-06-20,Hobart,S,S,S,Yes,Yes

